1 : [11, 2322, 139, 2450, 3287, 4361, 3416, 4490]
2 : [11, 2118, 140, 2247, 2761, 4361, 2890, 4490]
3 : [11, 2793, 296, 3078, 3268, 4205, 3553, 4490]
4 : [11, 2226, 145, 2360, 2864, 4356, 2998, 4490]
5 : [11, 1792, 144, 1925, 2616, 4355, 2751, 4490]
6 : [11, 1947, 144, 2080, 2578, 4356, 2712, 4490]
7 : [11, 1925, 147, 2061, 2428, 4354, 2564, 4490]
8 : [11, 1909, 148, 2046, 2899, 4351, 3038, 4490]
9 : [11, 2778, 153, 2920, 3602, 4347, 3745, 4490]
10 : [11, 1759, 146, 1894, 2917, 4353, 3054, 4490]
